Name,Wavelength,FWHM,SNR
B001,418.42,7,500
B002,424.04,6.67,500
B003,429.46,6.42,500
B004,434.69,6.25,500
B005,439.76,6.13,500
B006,444.7,6.06,500
B007,449.54,6.01,500
B008,454.31,5.98,500
B009,459.03,5.95,500
B010,463.73,5.92,500
B011,468.41,5.89,500
B012,473.08,5.86,500
B013,477.74,5.83,500
B014,482.41,5.81,500
B015,487.09,5.8,500
B016,491.78,5.8,500
B017,496.5,5.81,500
B018,501.24,5.84,500
B019,506.02,5.87,500
B020,510.83,5.91,500
B021,515.67,5.96,500
B022,520.55,6.01,500
B023,525.47,6.07,500
B024,530.42,6.12,500
B025,535.42,6.18,500
B026,540.46,6.24,500
B027,545.55,6.29,500
B028,550.69,6.35,500
B029,555.87,6.41,500
B030,561.11,6.47,500
B031,566.41,6.53,500
B032,571.76,6.58,500
B033,577.17,6.64,500
B034,582.64,6.7,500
B035,588.17,6.76,500
B036,593.77,6.82,500
B037,599.45,6.88,500
B038,605.19,6.95,500
B039,611.02,7.02,500
B040,616.92,7.1,500
B041,622.92,7.18,500
B042,628.99,7.25,500
B043,635.11,7.33,500
B044,641.29,7.41,500
B045,647.54,7.48,500
B046,653.84,7.55,500
B047,660.21,7.62,500
B048,666.64,7.69,500
B049,673.13,7.76,500
B050,679.69,7.83,500
B051,686.32,7.9,500
B052,693.01,7.97,500
B053,699.78,8.05,500
B054,706.62,8.13,500
B055,713.52,8.21,500
B056,720.5,8.29,500
B057,727.55,8.38,500
B058,734.65,8.47,500
B059,741.83,8.55,500
B060,749.06,8.64,500
B061,756.35,8.72,500
B062,763.7,8.8,500
B063,771.11,8.88,500
B064,778.57,8.96,500
B065,786.08,9.03,500
B066,793.64,9.1,500
B067,801.25,9.17,500
B068,808.91,9.24,500
B069,816.61,9.3,500
B070,824.36,9.37,500
B071,832.15,9.44,500
B072,839.98,9.51,500
B073,847.85,9.58,500
B074,855.76,9.66,500
B075,863.7,9.74,500
B076,871.68,9.82,500
B077,879.69,9.91,500
B078,887.73,9.99,500
B079,895.79,10.08,500
B080,903.87,10.16,500
B081,911.97,10.25,500
B082,920.08,10.34,500
B083,928.2,10.42,500
B084,936.34,10.51,500
B085,944.47,10.59,500
B086,952.61,10.66,500
B087,960.75,10.72,500
B088,968.89,10.75,500
B089,977.04,10.75,500
B090,985.19,10.72,500
B091,993.34,10.64,500
B092,901.96,9.18,150
B093,911.57,9.32,150
B094,921.32,9.45,150
B095,931.2,9.58,150
B096,941.22,9.71,150
B097,951.36,9.83,150
B098,961.63,9.94,150
B099,972.02,10.06,150
B100,982.52,10.16,150
B101,993.14,10.27,150
B102,1003.88,10.37,150
B103,1014.72,10.48,150
B104,1025.66,10.58,150
B105,1036.7,10.68,150
B106,1047.84,10.77,150
B107,1059.07,10.86,150
B108,1070.39,10.94,150
B109,1081.78,11.02,150
B110,1093.26,11.08,150
B111,1104.81,11.14,150
B112,1116.43,11.2,150
B113,1128.1,11.24,150
B114,1139.84,11.28,150
B115,1151.62,11.31,150
B116,1163.44,11.34,150
B117,1175.3,11.37,150
B118,1187.2,11.39,150
B119,1199.11,11.4,150
B120,1211.05,11.41,150
B121,1223,11.42,150
B122,1234.97,11.43,150
B123,1246.94,11.43,150
B124,1258.93,11.43,150
B125,1270.92,11.43,150
B126,1282.92,11.43,150
B127,1294.91,11.42,150
B128,1306.9,11.41,150
B129,1318.88,11.39,150
B130,1330.85,11.38,150
B131,1342.82,11.36,150
B132,1354.76,11.34,150
B133,1366.69,11.32,150
B134,1378.6,11.3,150
B135,1390.48,11.27,150
B136,1461.1,11.09,150
B137,1472.74,11.05,150
B138,1484.34,11.02,150
B139,1495.89,10.98,150
B140,1507.4,10.94,150
B141,1518.87,10.9,150
B142,1530.29,10.86,150
B143,1541.67,10.82,150
B144,1553.01,10.77,150
B145,1564.3,10.73,150
B146,1575.55,10.69,150
B147,1586.76,10.64,150
B148,1597.91,10.6,150
B149,1609.02,10.55,150
B150,1620.09,10.51,150
B151,1631.11,10.46,150
B152,1642.07,10.42,150
B153,1653,10.37,150
B154,1663.87,10.33,150
B155,1674.7,10.28,150
B156,1685.47,10.23,150
B157,1696.2,10.19,150
B158,1706.87,10.14,150
B159,1717.5,10.1,150
B160,1728.08,10.05,150
B161,1738.6,10.01,150
B162,1749.08,9.96,150
B163,1759.51,9.92,150
B164,1939.14,9.17,150
B165,1948.69,9.13,150
B166,1958.2,9.09,150
B167,1967.66,9.05,150
B168,1977.08,9.01,150
B169,1986.45,8.97,150
B170,1995.79,8.93,150
B171,2005.08,8.89,150
B172,2014.33,8.85,150
B173,2023.54,8.81,150
B174,2032.7,8.78,150
B175,2041.83,8.74,150
B176,2050.92,8.7,150
B177,2059.96,8.66,150
B178,2068.97,8.63,150
B179,2077.93,8.59,150
B180,2086.86,8.55,150
B181,2095.74,8.52,150
B182,2104.59,8.48,150
B183,2113.4,8.44,150
B184,2122.17,8.41,150
B185,2130.9,8.37,150
B186,2139.6,8.34,150
B187,2148.26,8.3,150
B188,2156.88,8.27,150
B189,2165.47,8.23,150
B190,2174.02,8.2,150
B191,2182.53,8.16,150
B192,2191.01,8.13,150
B193,2199.45,8.1,150
B194,2207.86,8.07,150
B195,2216.24,8.03,150
B196,2224.58,8,150
B197,2232.89,7.97,150
B198,2241.16,7.94,150
B199,2249.4,7.91,150
B200,2257.61,7.88,150
B201,2265.79,7.85,150
B202,2273.93,7.82,150
B203,2282.04,7.79,150
B204,2290.12,7.76,150
B205,2298.17,7.73,150
B206,2306.19,7.7,150
B207,2314.17,7.67,150
B208,2322.13,7.64,150
B209,2330.05,7.61,150
B210,2337.94,7.59,150
B211,2345.81,7.56,150
B212,2353.64,7.53,150
B213,2361.44,7.5,150
B214,2369.21,7.47,150
B215,2376.95,7.44,150
B216,2384.66,7.41,150
B217,2392.34,7.38,150
B218,2400,7.35,150
B219,2407.62,7.32,150
B220,2415.21,7.29,150
B221,2422.78,7.26,150
B222,2430.32,7.22,150
B223,2437.82,7.19,150
B224,2445.3,7.16,150
